area1,area2,area3,area4,Label
2.050481,7.4874187,0,5.203226,1
1.8209922,6.477213,0,4.7116714,1
2.1310687,8.314875,0,5.554219,1
1.9533739,7.035346,0,5.331392,1
2.080528,7.975225,0,5.7153206,1
1.8669665,6.4368515,0,5.064021,1
1.9000455,6.715659,0,5.1226926,1
1.8119347,5.8778186,0,4.480428,1
1.8934023,6.3357286,0,4.707358,1
1.924512,6.2962756,0,4.7085333,1
2.0417697,6.9122586,0,5.0235558,1
1.8115973,5.647091,0,4.3839025,1
1.943038,6.338695,0,4.7343354,1
2.4160914,8.922488,0,6.034622,1
2.2358031,7.9595256,0,5.538222,1
2.0367546,7.1680813,0,5.125968,1
2.21404,8.080232,0,5.606425,1
2.1589496,7.915352,0,5.5241203,1
1.9875003,7.0191417,0,5.0779333,1
1.894811,6.658558,0,4.8969307,1
2.076763,7.4889836,0,5.3209343,1
1.955129,6.7069726,0,4.9137726,1
2.0439913,7.0541816,0,5.084482,1
2.1648264,7.5734057,0,5.3565197,1
1.8776175,6.190778,0,4.6385994,1
1.9244832,6.6117234,0,4.8413,1
2.5036623,9.407192,0,6.275843,1
2.3648465,8.859312,0,5.9862204,1
2.0964878,7.5203185,0,5.292286,1
1.8521758,6.301513,0,4.6665707,1
2.242884,8.439338,0,5.7599497,1
2.0308604,7.1744967,0,5.131034,1
2.0794952,7.546363,0,5.3270855,1
1.848482,6.5991054,0,4.8528624,1
2.006876,7.5068216,0,5.318126,1
1.7388278,5.9309025,0,4.5501137,1
1.9410728,6.908458,0,5.0036592,1
1.9957415,7.2336054,0,5.1578255,1
2.1541,7.7751174,0,5.4291124,1
2.1250618,7.5093827,0,5.298336,1
1.9726228,6.7253976,0,4.8984585,1
2.178459,7.8242207,0,5.455713,1
1.8612223,6.382753,0,4.7032433,1
2.102458,7.669018,0,5.344072,1
2.022602,7.095285,0,5.0689616,1
1.8998483,6.5319505,0,4.793294,1
1.4505851,6.53171,0,4.7961206,1
1.521441,6.703247,0,4.8889427,1
1.5964166,6.9586444,0,5.0350876,1
1.7468772,6.892231,0,5.0866985,1
1.473157,6.4393663,0,4.7136374,1
1.6386918,7.443685,0,5.213757,1
1.9275025,8.987724,0,6.0116982,1
1.7577012,8.140677,0,5.5777297,1
1.8192601,6.9977775,0,5.1496525,1
1.8326602,7.0849676,0,5.1972446,1
1.8094813,7.6897826,0,5.4798713,1
1.6837083,6.4396467,0,5.021096,1
1.4827594,7.1445785,0,5.285043,1
1.6995969,7.8643775,0,5.6087604,1
1.6271524,7.810481,0,5.4648767,1
1.6842241,8.011215,0,5.47806,1
1.6579638,7.037267,0,5.122775,1
1.4747925,6.1282864,0,4.8333836,1
1.5753566,6.320203,0,4.913257,1
1.8912581,9.139887,0,6.1129274,1
1.8590074,8.631678,0,5.8574305,1
1.7806988,7.3741565,0,5.3288765,1
1.4921424,7.906188,0,5.4134665,1
1.752375,8.641547,0,5.87759,1
1.6992208,7.7336316,0,5.4233694,1
1.712489,8.279096,0,5.7031965,1
1.6086884,7.146831,0,5.226531,1
1.6022663,7.653333,0,5.505521,1
1.3902296,6.4666677,0,4.827331,1
1.5747354,7.772517,0,5.3931966,1
1.7188442,7.165286,0,5.2098255,1
1.8357514,8.218424,0,5.649431,1
1.7858006,7.07094,0,5.1183424,1
1.6358453,7.133688,0,5.066927,1
1.686471,8.102976,0,5.682728,1
1.2928891,7.6700635,0,5.4311466,1
1.3889381,7.315281,0,5.399053,1
1.5562493,7.7137012,0,5.517362,1
1.5419742,6.2324295,0,4.9662046,1
2.0427203,4.3286037,2.0173836,4.6339383,1
1.0903605,4.480264,0.8749494,5.7478604,1
1.2276887,4.59302,0.68055856,6.2097054,1
1.3878658,3.718721,1.793509,4.435812,1
0.7302941,5.177779,1.6108184,5.228904,1
2.336598,6.989616,2.2251077,6.5689063,1
3.026574,5.8762484,1.7692572,6.0510826,1
1.7336173,5.3847766,1.028532,5.479547,1
3.3465452,4.8898096,1.5089473,5.604018,1
2.1577957,5.8298855,1.5883528,5.4631567,1
2.0679603,4.495684,1.0782917,4.6047606,1
2.1838613,5.155657,2.2838416,4.122169,1
1.4129432,6.158747,2.2349224,4.959554,1
1.6847285,6.046739,1.8275071,5.0451255,1
1.944578,5.8355966,2.188025,5.168538,1
2.500356,4.396043,1.9828457,5.870331,1
1.7958976,3.8309965,1.9140495,5.105547,1
1.6492467,4.058803,2.2062354,5.0953765,1
2.9895685,6.821503,2.8542814,6.7621193,1
3.3891344,6.513708,2.5964398,6.277215,1
3.01649,5.577241,1.8674859,5.4263067,1
1.3903589,6.212236,3.1702766,4.3375,1
3.024361,6.996126,2.8539567,5.444562,1
